Pct_Civilian_Unemployed,Pct_BelowPoverty_18andOver,Pct_Population_Male_65andOver,Pct_Population_Female_65andOver,Pct_Black_65andOver,Pct_Black_Male_65andOver,Pct_Black_Female_65andOver,Pct_White_65andOver,Pct_White_Male_65andOver,Pct_White_Female_65andOver,Pct_Hisp_65andOver,Pct_Hisp_Male_65andOver,Pct_Hisp_Female_65andOver,BINGE_CrudePrev,CSMOKING_CrudePrev,OBESITY_CrudePrev,Median_Household_Income,ZCTA_pm2_5,sdi_score,Pct_White_Male_Between18and65,Pct_White_Female_Between18and65,Pct_Black_Female_Between18and65,Pct_Black_Male_Between18and65,Pct_Hisp_Male_Between18and65,Pct_Hisp_Female_Between18and65
5.9,6.155998600909409,5.223271540165559,6.7098052932260694,1.224204267226303,0.3964090008161362,0.8277952664101668,7.560918736154833,3.8416695814387314,3.7192491547161017,1.2650110761338464,0.6529089425206949,0.6121021336131515,15.3,12.5,22.4,124258.0,8.13769676526978,22.0,23.941937740468695,24.122653608487816,3.5035560219190858,3.153783374140142,9.99183863821849,9.50798647545762
3.7,2.7760909169775307,3.8431508631907696,4.44174546716405,0.6549839507243862,0.1388045458488765,0.5161794048755097,3.4354125097596944,1.375032532315433,2.0603799774442613,0.5465428992799514,0.2298950290622018,0.3166478702177496,16.2,11.3,21.9,157615.0,8.01185283896043,4.0,22.78129608744686,24.698533876984477,3.2922703218530405,3.530840635030797,3.461438362106359,3.5308406350307973
3.0,2.5272923581397206,8.439154492257474,10.954977906930456,1.2817961068428805,0.5692448549022731,0.7125512519406074,14.943672624497433,6.544325464750607,8.399347159746826,0.7404163846980614,0.3861311253532901,0.3542852593447713,16.6,12.3,31.0,131184.0,7.83307964748727,2.0,27.427252099836792,26.834122845428134,5.815851279805741,4.553958839218184,4.557939572469249,4.868436766052307
3.6,1.9393181107288084,11.385674069440102,12.167657178604944,0.1251172974663747,0.0312793243665936,0.093837973099781,22.552392868314044,11.29183609634032,11.260556771973723,2.2521113543947453,1.376290272130122,0.8758210822646231,16.0,12.2,25.0,172708.0,7.86097200898648,3.0,36.03378167031592,32.96840788238974,0.3753518923991242,0.8132624335314358,0.8758210822646233,1.9393181107288082
5.3,5.981560602653474,4.863631983038324,7.382183815734524,1.4905714928202,0.6649747823572874,0.8255967104629124,8.220630280445887,3.0775161425037747,5.143114137942112,1.6993799993575125,0.6842494137299624,1.01513058562755,16.0,15.9,26.8,96442.0,8.20837724523951,39.0,27.360339233512157,25.465000481865786,3.2477753862957375,4.391403514407787,15.91120819814321,14.870378104018762
3.8,3.1090827594637545,6.139708872082622,7.522159876392616,0.70342359925185,0.3049524274213223,0.3984711718305277,10.46596730909978,5.0866064893876555,5.379360819712125,0.902659185167114,0.3212165568837928,0.581442628283321,16.4,11.9,23.9,143085.0,8.21170755716491,7.0,30.739204684069286,30.796129137187933,2.964137594535252,4.045702203789542,4.781654061966333,3.9318532975522484
2.8,4.935622317596566,3.242727706247019,1.979017644253696,0.3338102050548402,0.2145922746781116,0.1192179303767286,2.5512637100619933,1.2756318550309966,1.2756318550309966,0.3934191702432045,0.0357653791130185,0.3576537911301859,15.3,16.5,25.0,105248.0,8.09768972898028,32.0,23.938960419647113,20.70815450643777,3.6003814973772057,5.5317119694802095,10.0619933237959,11.64759179780639
3.1,1.912132938766219,9.224903255178694,10.340314136125654,0.9219212383337126,0.3243796949692692,0.5975415433644434,16.41247439107671,7.733894832688367,8.678579558388346,0.9048486228090143,0.5007967220578192,0.404051900751195,17.0,12.6,31.6,145332.0,7.75956843412581,1.0,28.494195310721604,28.55110402913726,3.300705668108354,5.150239016617346,2.583655816071022,2.9478716139312544
4.2,4.728742421887144,6.127778641380383,6.252137416446447,1.1067930980879837,0.534742732784082,0.5720503653039017,8.217006062490285,4.041660189647132,4.1753458728431525,1.6974972796517953,0.8363127623192912,0.8611845173325043,16.6,13.4,23.7,124859.0,8.25308023430723,40.0,26.889476138660036,26.91434789367325,3.4043214674335465,3.9297372920876734,12.662832271102129,11.86382714130266
3.8,2.9601766293237386,5.146237086706463,5.007223267097337,1.0248861994712022,0.5124430997356011,0.5124430997356011,7.089704800065419,3.685229100226238,3.40447569983918,0.5069915773979884,0.1853517594788344,0.3216398179191539,16.2,10.1,20.2,141559.0,8.22612124057842,18.0,24.357401804453893,23.05721372693325,4.661051598658926,4.017771962820618,3.390846893995148,3.172786000490637
