ZCTA5,Zip_name,Population_18andOver,Pct_Civilian_Unemployed,Pct_BelowPoverty_18andOver,Pct_Population_Male_18andOver,Pct_Population_65andOver,Pct_Population_Male_65andOver,Pct_Population_Female_65andOver,Pct_Black_18andOver,Pct_Black_Male_18andOver,Pct_Black_Female_18andOver,Pct_Black_65andOver,Pct_Black_Male_65andOver,Pct_Black_Female_65andOver,Pct_White_18andOver,Pct_White_Male_18andOver,Pct_White_Female_18andOver,Pct_White_65andOver,Pct_White_Male_65andOver,Pct_White_Female_65andOver,Pct_Hisp_18andOver,Pct_Hisp_Male_18andOver,Pct_Hisp_Female_18andOver,Pct_Hisp_65andOver,Pct_Hisp_Male_65andOver,Pct_Hisp_Female_65andOver,BINGE_CrudePrev,CSMOKING_CrudePrev,OBESITY_CrudePrev,Median_Household_Income,ZCTA_pm2_5,sdi_score,case_n_18plus
20155,ZCTA5 20155,25121,3,2.5272923581397206,47.529955017714265,19.39413239918793,8.439154492257474,10.954977906930456,11.651606225866805,5.123203694120456,6.528402531746348,1.2817961068428805,0.5692448549022731,0.7125512519406074,69.20504756976234,33.9715775645874,35.23347000517496,14.943672624497431,6.544325464750607,8.399347159746826,10.166792723219617,4.944070697822539,5.222722025397078,0.7404163846980614,0.3861311253532901,0.35428525934477134,16.6,12.3,31,131184,7.83307964748727,2,72
20158,ZCTA5 20158,3197,3.6,1.9393181107288084,50.92274006881451,23.553331248045044,11.385674069440102,12.167657178604943,1.3137316233969347,0.8445417578980294,0.46918986549890523,0.12511729746637473,0.03127932436659368,0.09383797309978105,91.5545824210197,47.325617766656244,44.228964654363466,22.552392868314044,11.291836096340319,11.260556771973725,5.067250547388177,2.2521113543947453,2.8151391929934313,2.2521113543947453,1.376290272130122,0.8758210822646231,16,12.2,25,172708,7.86097200898648,3,13
20164,ZCTA5 20164,31129,5.3,5.981560602653474,51.003887050660154,12.245815798772847,4.863631983038324,7.382183815734524,9.129750393523723,5.056378296765074,4.07337209675865,1.4905714928201999,0.6649747823572874,0.8255967104629124,61.04596999582383,30.437855376015932,30.608114619807896,8.220630280445887,3.0775161425037747,5.143114137942112,32.48096630151948,16.595457611873172,15.885508689646311,1.6993799993575123,0.6842494137299624,1.0151305856275499,16,15.9,26.8,96442,8.20837724523951,39,69
20165,ZCTA5 20165,24594,3.8,3.1090827594637545,50.05285842075303,13.661868748475236,6.139708872082622,7.522159876392616,7.713263397576645,4.3506546312108645,3.36260876636578,0.70342359925185,0.3049524274213223,0.3984711718305277,72.00130113035699,35.82581117345694,36.17548995690006,10.46596730909978,5.0866064893876555,5.379360819712125,9.616166544685695,5.102870618850126,4.513295925835569,0.9026591851671139,0.3212165568837928,0.581442628283321,16.4,11.9,23.9,143085,8.21170755716491,7,40
20166,ZCTA5 20166,8388,2.8,4.935622317596566,50.58416785884597,5.221745350500715,3.2427277062470194,1.9790176442536958,9.465903671912255,5.746304244158321,3.719599427753934,0.33381020505484027,0.2145922746781116,0.11921793037672865,47.19837863614688,25.21459227467811,21.983786361468766,2.5512637100619933,1.2756318550309966,1.2756318550309966,22.103004291845494,10.097758702908918,12.005245588936576,0.39341917024320455,0.035765379113018594,0.35765379113018597,15.3,16.5,25,105248,8.09768972898028,32,11
20169,ZCTA5 20169,17572,3.1,1.912132938766219,49.698383792396996,19.565217391304348,9.224903255178694,10.340314136125654,9.372865923059413,5.474618711586615,3.8982472114727975,0.9219212383337126,0.32437969496926927,0.5975415433644434,73.45777373093559,36.22809014340997,37.22968358752561,16.41247439107671,7.733894832688367,8.678579558388346,6.4363760528112905,3.0844525381288412,3.3519235146824493,0.9048486228090143,0.5007967220578192,0.40405190075119507,17,12.6,31.6,145332,7.75956843412581,1,37
20170,ZCTA5 20170,32165,4.2,4.728742421887144,50.16322089227421,12.37991605782683,6.127778641380383,6.252137416446447,8.440851857609202,4.464480024871755,3.9763718327374478,1.1067930980879837,0.534742732784082,0.5720503653039017,62.020830094823566,30.93113632830717,31.0896937665164,8.217006062490285,4.041660189647132,4.1753458728431525,26.22415669205658,13.499145033421419,12.725011658635163,1.6974972796517953,0.8363127623192912,0.8611845173325043,16.6,13.4,23.7,124859,8.25308023430723,40,59
20171,ZCTA5 20171,36687,3.8,2.9601766293237386,49.554338048900156,10.1534603538038,5.146237086706463,5.007223267097337,9.703709760950746,4.530215062556219,5.173494698394527,1.0248861994712022,0.5124430997356011,0.5124430997356011,54.50432033145256,28.04263090468013,26.461689426772427,7.089704800065419,3.685229100226238,3.40447569983918,7.070624471883774,3.5761986534739822,3.494425818409791,0.5069915773979884,0.18535175947883448,0.3216398179191539,16.2,10.1,20.2,141559,8.22612124057842,18,51
20175,ZCTA5 20175,24448,3,4.429563698373747,49.2023887434555,11.927356020942408,5.415575916230367,6.5117801047120425,6.646760471204188,3.4481348167539267,3.1986256544502623,0.4867473821989529,0.18406413612565445,0.30268324607329844,84.14185209424085,42.24885471204188,41.892997382198956,10.769797120418847,4.982002617801047,5.7877945026178015,7.599803664921466,3.2231675392670156,4.376636125654451,0.38448952879581155,0.032722513089005235,0.35176701570680624,17.1,13.4,25.5,132594,7.86244811275542,7,53
20176,ZCTA5 20176,37960,3.1,3.773835096931604,49.02265542676501,14.689146469968387,6.227608008429926,8.461538461538462,7.842465753424658,3.904109589041096,3.9383561643835616,0.9826132771338252,0.29241306638566916,0.690200210748156,74.0990516332982,36.33825079030559,37.76080084299262,11.456796628029505,5.026343519494205,6.4304531085353,16.354056902002107,9.138566912539515,7.215489989462593,0.5110642781875658,0.29768177028451,0.21338250790305582,16.2,13.2,25.4,128167,7.99038133546309,19,87
20180,ZCTA5 20180,5488,2.4,2.423469387755102,47.97740524781341,14.90524781341108,6.8695335276967935,8.035714285714286,2.1683673469387754,1.129737609329446,1.0386297376093294,0.09110787172011661,0.03644314868804665,0.05466472303206997,94.13265306122449,45.66326530612245,48.46938775510204,14.212827988338192,6.669096209912537,7.543731778425657,8.527696793002915,3.7354227405247813,4.792274052478134,0.6013119533527697,0.18221574344023322,0.41909620991253643,16.7,13.7,25.8,135212,7.95595454581074,2,9
